"name_engl","svrg_un","cntr_id","iso3_code","note",""
"Greece","UN Member State","EL","GRC","different iso2",""
"United Kingdom","UN Member State","UK","GBR","different iso2",""
"Clipperton Island","FR Territory","CP","CPT","",""
"Paracel Islands","Sovereignty unsettled","XA","XA","",""
"Spratly Islands","Sovereignty unsettled","XB","XB","",""
"Aksai Chin","Sovereignty unsettled","XC","XC","",""
"Arunachal Pradesh","Sovereignty unsettled","XD","XD","",""
"China/India","Sovereignty unsettled","XE","XE","",""
"Hala'Ib Triangle","Sovereignty unsettled","XF","XF","",""
"Ilemi Triangle","Sovereignty unsettled","XG","XG","",""
"Jammu Kashmir","Sovereignty unsettled","XH","XH","",""
"Kuril Islands","Sovereignty unsettled","XI","XI","",""
"No mans land","Sovereignty unsettled","XJL","XJL","",""
"Navassa Island","US Territory","XL","XL","",""
"Scarborough Reef","Sovereignty unsettled","XM","XM","",""
"Senkaku Islands","Sovereignty unsettled","XN","XN","",""
"Bassas Da India","FR Territory","XO","XO","",""
"Abyei","Sovereignty unsettled","XU","XU","",""
"Bir Tawil (Disputed Territory)","Sovereignty unsettled","XV","XV","",""
"Equatorial Guinea/Gabon (disputed territory)","Sovereignty unsettled","XXR","XXR","",""
"Chagos Islands (disputed territory)","Sovereignty unsettled","XXS","XXS","",""