"provinc"|"biome"|"realm"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"Subarctic Pacific"|"Gyre"|"Northern Cold Water"|"34"|"Subarctic Pacific"|"4"|"Gyre"|"3"|"Northern Cold Water"|"ppow"
"Agulhas Current"|"Boundary - western"|"Indo-Pacific Warm Water"|"0"|"Agulhas Current"|"2"|"Western Boundary"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Antarctic"|"Polar"|"Southern Cold Water"|"1"|"Antarctic"|"5"|"Polar"|"4"|"Southern Cold Water"|"ppow"
"Antarctic Polar Front"|"Polar"|"Southern Cold Water"|"2"|"Antarctic Polar Front"|"5"|"Polar"|"4"|"Southern Cold Water"|"ppow"
"Arctic"|"Polar"|"Northern Cold Water"|"3"|"Arctic"|"5"|"Polar"|"3"|"Northern Cold Water"|"ppow"
"Benguela Current"|"Boundary - eastern"|"Atlantic Warm Water"|"4"|"Benguela Current"|"1"|"Eastern Boundary"|"1"|"Atlantic Warm Water"|"ppow"
"Black Sea"|"Semi-enclosed sea"|"Atlantic Warm Water"|"5"|"Black Sea"|"6"|"Semi-enclosed sea"|"1"|"Atlantic Warm Water"|"ppow"
"California Current"|"Boundary - eastern"|"Indo-Pacific Warm Water"|"6"|"California Current"|"1"|"Eastern Boundary"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Canary Current"|"Boundary - eastern"|"Atlantic Warm Water"|"7"|"Canary Current"|"1"|"Eastern Boundary"|"1"|"Atlantic Warm Water"|"ppow"
"Eastern Tropical Pacific"|"Equatorial"|"Indo-Pacific Warm Water"|"8"|"Eastern Tropical Pacific"|"3"|"Equatorial"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Equatorial Atlantic"|"Equatorial"|"Atlantic Warm Water"|"9"|"Equatorial Atlantic"|"3"|"Equatorial"|"1"|"Atlantic Warm Water"|"ppow"
"Equatorial Pacific"|"Equatorial"|"Indo-Pacific Warm Water"|"10"|"Equatorial Pacific"|"3"|"Equatorial"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Guinea Current"|"Boundary - eastern"|"Atlantic Warm Water"|"11"|"Guinea Current"|"1"|"Eastern Boundary"|"1"|"Atlantic Warm Water"|"ppow"
"Gulf Stream"|"Boundary - western"|"Atlantic Warm Water"|"12"|"Gulf Stream"|"2"|"Western Boundary"|"1"|"Atlantic Warm Water"|"ppow"
"Humboldt Current"|"Boundary - eastern"|"Indo-Pacific Warm Water"|"13"|"Humboldt Current"|"1"|"Eastern Boundary"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Indian Ocean Gyre"|"Gyre"|"Indo-Pacific Warm Water"|"14"|"Southern Indian Ocean"|"4"|"Gyre"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Indian Ocean Monsoon Gyre"|"Gyre"|"Indo-Pacific Warm Water"|"15"|"Northern Indian Ocean"|"4"|"Gyre"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Indonesian Through-Flow"|"Semi-enclosed sea"|"Indo-Pacific Warm Water"|"16"|"Indonesian Through-Flow"|"6"|"Semi-enclosed sea"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Inter American Seas"|"Semi-enclosed sea"|"Atlantic Warm Water"|"17"|"Inter American Seas"|"6"|"Semi-enclosed sea"|"1"|"Atlantic Warm Water"|"ppow"
"Kuroshio"|"Boundary - western"|"Indo-Pacific Warm Water"|"18"|"Kuroshio-Oyashio Current"|"2"|"Western Boundary"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Leeuwin Current"|"Boundary - eastern"|"Indo-Pacific Warm Water"|"19"|"Leeuwin Current"|"1"|"Eastern Boundary"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Malvinas Current"|"Boundary - western"|"Atlantic Warm Water"|"20"|"Malvinas Current"|"2"|"Western Boundary"|"1"|"Atlantic Warm Water"|"ppow"
"Mediterranean"|"Semi-enclosed sea"|"Atlantic Warm Water"|"21"|"Mediterranean"|"6"|"Semi-enclosed sea"|"1"|"Atlantic Warm Water"|"ppow"
"Non-gyral Southwest Pacific"|"Transitional"|"Indo-Pacific Warm Water"|"22"|"Southwest Pacific"|"7"|"Transitional"|"2"|"Indo-Pacific Warm Water"|"ppow"
"North Atlantic Transitional"|"Transitional"|"Atlantic Warm Water"|"23"|"North Atlantic Current"|"7"|"Transitional"|"1"|"Atlantic Warm Water"|"ppow"
"North Central Atlantic Gyre"|"Gyre"|"Atlantic Warm Water"|"24"|"North Central Atlantic"|"4"|"Gyre"|"1"|"Atlantic Warm Water"|"ppow"
"North Central Pacific Gyre"|"Gyre"|"Indo-Pacific Warm Water"|"25"|"North Central Pacific"|"4"|"Gyre"|"2"|"Indo-Pacific Warm Water"|"ppow"
"North Pacific Transitional"|"Transitional"|"Indo-Pacific Warm Water"|"26"|"North Pacific Current"|"7"|"Transitional"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Red Sea"|"Semi-enclosed sea"|"Indo-Pacific Warm Water"|"27"|"Red Sea"|"6"|"Semi-enclosed sea"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Sea of Japan/East Sea"|"Semi-enclosed sea"|"Indo-Pacific Warm Water"|"28"|"Sea of Japan/East Sea"|"6"|"Semi-enclosed sea"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Somali Current"|"Boundary - western"|"Indo-Pacific Warm Water"|"29"|"Somali Current"|"2"|"Western Boundary"|"2"|"Indo-Pacific Warm Water"|"ppow"
"South Central Atlantic Gyre"|"Gyre"|"Atlantic Warm Water"|"30"|"South Central Atlantic"|"4"|"Gyre"|"1"|"Atlantic Warm Water"|"ppow"
"South Central Pacific Gyre"|"Gyre"|"Indo-Pacific Warm Water"|"31"|"South Central Pacific"|"4"|"Gyre"|"2"|"Indo-Pacific Warm Water"|"ppow"
"South China Sea"|"Semi-enclosed sea"|"Indo-Pacific Warm Water"|"32"|"South China Sea"|"6"|"Semi-enclosed sea"|"2"|"Indo-Pacific Warm Water"|"ppow"
"Subantarctic"|"Polar"|"Southern Cold Water"|"33"|"Subantarctic"|"5"|"Polar"|"4"|"Southern Cold Water"|"ppow"
"Subtropical Convergence"|"Transitional"|"Southern Cold Water"|"35"|"Southern Subtropical Front"|"7"|"Transitional"|"4"|"Southern Cold Water"|"ppow"
"Subarctic Atlantic"|"Gyre"|"Northern Cold Water"|"36"|"Subarctic Atlantic"|"4"|"Gyre"|"3"|"Northern Cold Water"|"ppow"
